diameter,class,sex_I,sex_M
0.325,9,False,False
0.285,9,False,True
0.445,10,False,False
0.45,10,False,False
0.52,16,False,True
0.455,11,False,True
0.375,10,False,True
0.38,10,False,False
0.35,10,False,True
0.13,4,True,False
0.475,15,False,True
0.515,10,False,False
0.485,10,False,False
0.45,12,False,False
0.405,10,False,True
0.46,13,False,False
0.455,13,False,False
0.46,13,False,False
0.485,13,False,False
0.56,18,False,False
0.545,16,False,False
0.575,20,False,False
0.57,20,False,False
0.515,12,False,False
0.55,14,False,True
0.395,7,False,False
0.435,8,False,True
0.245,8,True,False
0.16,4,True,False
0.48,14,False,True
0.475,10,False,False
0.51,12,False,False
0.49,13,False,True
0.48,12,False,False
0.48,11,False,False
0.275,8,True,False
0.4,10,False,False
0.405,12,False,True
0.5,16,False,True
0.46,10,False,True
0.345,9,False,False
0.4,12,False,False
0.335,8,False,True
0.34,9,False,False
0.3,9,True,False
0.34,8,True,False
0.365,10,False,False
0.25,7,False,True
0.325,12,False,False
0.405,9,False,True
0.405,10,False,True
0.35,8,False,True
0.36,10,False,True
0.305,8,False,False
0.325,9,False,False
0.35,11,False,False
0.375,9,False,False
0.37,9,False,False
0.29,7,False,False
0.27,7,True,False
0.465,11,False,False
0.415,15,False,False
0.44,14,False,True
0.505,22,False,True
0.215,7,True,False
0.225,9,True,False
0.1,3,True,False
0.425,17,False,True
0.2,5,True,False
0.23,8,True,False
0.255,8,True,False
0.26,10,True,False
0.27,7,True,False
0.25,7,True,False
0.455,12,False,False
0.46,15,False,False
0.495,15,False,True
0.45,15,False,True
0.46,10,False,True
0.505,15,False,False
0.475,13,False,False
0.475,11,False,False
0.42,11,False,True
0.195,4,True,False
0.2,6,False,True
0.38,11,False,False
0.39,9,False,True
0.36,13,False,False
0.525,22,False,False
0.5,16,False,True
0.54,22,False,True
0.53,12,False,False
0.5,18,False,True
0.525,20,False,True
0.425,11,False,False
0.415,15,False,False
0.285,7,True,False
0.355,9,False,False
0.395,14,False,True
0.435,10,False,True
0.4,17,False,False
0.355,9,False,True
0.435,17,False,True
0.475,15,False,True
0.455,19,False,False
0.495,26,False,True
0.215,6,True,False
0.205,6,True,False
0.395,11,False,True
0.435,13,False,False
0.28,8,False,True
0.27,6,False,True
0.36,10,False,False
0.12,3,True,False
0.515,13,False,True
0.41,14,False,True
0.435,10,False,True
0.485,21,False,False
0.44,14,False,True
0.455,19,False,True
0.47,23,False,False
0.485,23,False,True
0.355,8,True,False
0.535,14,False,False
0.35,10,False,True
0.455,18,False,False
0.255,6,True,False
0.21,5,True,False
0.145,4,True,False
0.205,5,True,False
0.265,7,False,True
0.275,7,True,False
0.4,12,False,True
0.325,8,False,False
0.22,5,True,False
0.175,5,True,False
0.6,16,False,False
0.45,16,False,True
0.475,13,False,True
0.455,14,False,True
0.51,14,False,False
0.375,12,False,False
0.425,8,False,False
0.26,6,True,False
0.48,14,False,True
0.495,8,False,False
0.45,22,False,False
0.455,9,False,True
0.515,16,False,True
0.58,20,False,True
0.525,18,False,False
0.585,17,False,True
0.545,16,False,False
0.49,18,False,True
0.525,20,False,False
0.48,16,False,False
0.515,19,False,True
0.465,11,False,True
0.455,10,False,False
0.49,12,False,True
0.545,16,False,False
0.565,16,False,False
0.58,19,False,False
0.575,14,False,False
0.52,13,False,True
0.545,20,False,False
0.45,10,False,False
0.495,12,False,False
0.47,15,False,True
0.42,10,False,True
0.375,12,False,True
0.37,9,False,False
0.42,12,False,True
0.38,10,False,True
0.42,14,False,True
0.325,10,True,False
0.375,10,False,True
0.295,9,True,False
0.31,11,True,False
0.395,10,False,False
0.44,12,False,True
0.455,11,False,True
0.365,9,False,False
0.455,9,False,True
0.415,10,False,False
0.345,7,True,False
0.44,12,False,False
0.355,8,False,True
0.45,11,False,True
0.44,8,False,True
0.5,15,False,True
0.44,12,False,True
0.495,14,False,False
0.47,15,False,False
0.5,20,False,False
0.515,20,False,True
0.41,13,False,True
0.38,11,True,False
0.39,13,False,False
0.225,8,True,False
0.2,6,True,False
0.45,13,False,True
0.485,18,False,False
0.45,18,False,False
0.45,18,False,False
0.47,20,False,True
0.345,13,True,False
0.275,7,True,False
0.305,14,True,False
0.3,9,False,True
0.415,13,False,True
0.26,8,True,False
0.425,19,False,False
0.295,10,True,False
0.325,10,False,False
0.455,9,False,False
0.435,13,False,True
0.455,16,False,True
0.5,12,False,True
0.455,18,False,False
0.565,16,False,True
0.535,16,False,False
0.49,11,False,False
0.55,14,False,False
0.47,11,False,True
0.54,15,False,False
0.28,9,True,False
0.31,10,True,False
0.41,11,False,False
0.285,11,False,True
0.195,6,True,False
0.55,12,False,False
0.53,13,False,True
0.55,17,False,False
0.555,21,False,True
0.405,10,False,False
0.415,10,False,False
0.35,9,False,False
0.54,17,False,True
0.59,21,False,True
0.545,16,False,True
0.585,29,False,False
0.4,17,False,True
0.465,15,False,True
0.48,12,False,True
0.45,11,False,True
0.515,15,False,False
0.455,14,False,False
0.455,14,False,True
0.46,13,False,True
0.53,15,False,True
0.5,17,False,True
0.52,12,False,False
0.525,11,False,False
0.45,10,False,True
0.52,23,False,False
0.47,15,False,False
0.505,13,False,False
0.46,12,False,True
0.455,15,False,True
0.435,11,False,True
0.35,10,False,False
0.38,10,False,False
0.22,6,False,True
0.195,5,False,False
0.195,6,False,True
0.2,5,False,True
0.23,4,False,True
0.26,9,True,False
0.14,5,False,True
0.16,4,False,True
0.125,4,False,True
0.445,14,False,False
0.45,12,False,False
0.3,9,False,True
0.355,13,False,False
0.37,12,True,False
0.335,9,False,False
0.23,7,False,True
0.205,5,False,True
0.29,10,False,False
0.375,15,False,False
0.355,11,False,False
0.325,15,False,True
0.35,8,False,True
0.245,11,False,True
0.155,7,False,True
0.45,12,False,False
0.425,11,True,False
0.49,13,True,False
0.37,13,True,False
0.385,10,True,False
0.405,14,True,False
0.5,12,False,False
0.53,13,False,False
0.4,13,True,False
0.34,8,False,False
0.4,13,True,False
0.35,11,False,False
0.415,11,False,False
0.255,10,False,True
0.33,12,True,False
0.21,7,False,True
0.32,11,False,False
0.35,16,True,False
0.44,17,False,False
0.425,10,True,False
0.435,10,False,False
0.425,14,True,False
0.525,19,False,False
0.305,11,False,False
0.31,13,False,False
0.4,13,True,False
0.29,9,False,False
0.41,18,True,False
0.52,19,False,False
0.42,12,False,True
0.43,9,False,False
0.47,13,True,False
0.495,12,True,False
0.42,17,True,False
0.315,10,False,False
0.3,13,False,False
0.345,11,True,False
0.39,12,True,False
0.27,9,False,True
0.265,12,False,True
0.345,12,False,False
0.24,9,False,True
0.35,15,True,False
0.345,13,False,True
0.24,7,False,True
0.225,9,False,True
0.17,7,False,True
0.255,10,False,True
0.38,18,True,False
0.385,17,False,False
0.36,15,True,False
0.305,8,False,False
0.415,21,True,False
0.365,9,True,False
0.34,7,False,False
0.36,9,True,False
0.265,8,False,True
0.235,7,False,True
0.345,14,True,False
0.24,7,False,True
0.485,13,True,False
0.45,19,False,False
0.215,6,False,True
0.375,9,False,True
0.35,11,True,False
0.36,9,False,False
0.35,11,True,False
0.225,7,False,True
0.28,10,False,False
0.215,7,False,True
0.435,17,False,False
0.515,16,False,False
0.49,18,True,False
0.475,11,False,False
0.525,18,True,False
0.305,12,False,False
0.355,19,True,False
0.295,10,False,False
0.35,11,False,True
0.38,15,False,False
0.425,13,False,True
0.385,14,False,True
0.38,17,False,False
0.41,19,False,False
0.385,23,False,False
0.395,22,False,False
0.415,12,False,True
0.375,11,False,False
0.38,23,False,False
0.275,7,True,False
0.325,7,False,False
0.405,16,False,True
0.4,10,False,True
0.44,15,False,True
0.4,11,False,True
0.44,11,False,True
0.375,10,False,True
0.19,5,True,False
0.29,9,False,True
0.11,4,True,False
0.285,12,False,True
0.385,14,False,False
0.33,9,False,False
0.295,12,False,True
0.325,10,False,True
0.25,11,False,True
0.295,10,False,True
0.225,7,True,False
0.25,7,True,False
0.3,11,False,True
0.205,7,True,False
0.255,9,False,True
0.2,7,True,False
0.19,6,True,False
0.125,4,True,False
0.11,3,True,False
0.44,15,False,True
0.41,15,False,True
0.36,11,False,True
0.305,10,False,True
0.375,12,False,False
0.4,13,False,True
0.4,15,False,True
0.38,13,False,True
0.425,18,False,True
0.39,10,False,True
0.405,12,False,False
0.41,14,False,True
0.345,10,False,True
0.44,14,False,True
0.42,14,False,False
0.52,17,False,False
0.385,9,False,True
0.42,14,False,True
0.515,15,False,True
0.39,13,False,False
0.46,13,False,False
0.455,13,False,False
0.515,20,False,True
0.505,13,False,True
0.525,20,False,True
0.495,15,False,False
0.405,15,False,True
0.44,16,False,False
0.51,14,False,True
0.47,14,False,False
0.445,13,False,False
0.27,9,False,True
0.425,17,False,False
0.455,11,False,False
0.275,8,False,True
0.34,9,False,True
0.38,10,False,True
0.41,11,False,True
0.385,15,False,True
0.38,13,False,True
0.36,15,False,False
0.435,10,False,True
0.28,6,True,False
0.155,5,True,False
0.39,9,False,False
0.385,12,False,True
0.465,12,False,False
0.375,10,False,False
0.45,12,False,True
0.465,12,False,True
0.405,15,False,True
0.41,11,False,True
0.335,9,False,True
0.345,11,False,False
0.34,10,False,True
0.275,7,True,False
0.38,10,False,True
0.205,6,True,False
0.4,15,False,False
0.34,10,False,False
0.41,12,False,False
0.405,12,False,True
0.175,6,True,False
0.185,5,True,False
0.24,7,True,False
0.25,7,True,False
0.27,6,True,False
0.25,6,True,False
0.275,6,True,False
0.275,7,True,False
0.29,6,True,False
0.3,7,True,False
0.29,7,True,False
0.31,6,True,False
0.325,6,True,False
0.32,7,True,False
0.305,6,False,True
0.325,6,True,False
0.365,9,True,False
0.335,7,True,False
0.325,7,True,False
0.35,8,True,False
0.375,8,False,True
0.355,9,True,False
0.41,9,False,False
0.4,9,False,True
0.44,8,False,True
0.395,8,False,True
0.405,9,False,True
0.42,11,False,False
0.44,10,False,False
0.45,10,False,True
0.45,10,False,False
0.45,10,False,True
0.455,9,False,True
0.435,10,False,True
0.465,9,False,False
0.46,12,False,True
0.48,10,False,False
0.48,8,False,False
0.475,6,False,False
0.465,12,False,False
0.475,11,False,True
0.475,10,False,False
0.495,11,False,True
0.455,9,False,True
0.5,12,False,False
0.52,10,False,False
0.51,9,False,True
0.505,12,False,True
0.505,11,False,False
0.5,9,False,True
0.49,11,False,False
0.49,11,False,False
0.51,9,False,True
0.5,10,False,False
0.485,9,False,False
0.51,8,False,False
0.525,11,False,True
0.52,9,False,True
0.52,10,False,True
0.525,9,False,False
0.56,11,False,False
0.56,11,False,False
0.175,3,True,False
0.195,6,True,False
0.12,4,True,False
0.23,5,True,False
0.235,4,True,False
0.23,6,True,False
0.22,5,True,False
0.235,6,True,False
0.24,5,True,False
0.24,6,True,False
0.25,7,True,False
0.25,5,True,False
0.25,7,True,False
0.29,6,True,False
0.28,7,True,False
0.28,6,True,False
0.305,7,True,False
0.31,6,True,False
0.32,5,True,False
0.315,6,True,False
0.315,6,True,False
0.325,7,True,False
0.325,8,True,False
0.34,6,True,False
0.345,6,True,False
0.325,7,True,False
0.335,6,False,False
0.355,7,True,False
0.35,6,False,False
0.365,8,False,True
0.365,8,False,False
0.37,9,False,True
0.36,6,False,False
0.375,6,False,True
0.365,7,False,True
0.37,7,False,False
0.385,8,False,True
0.395,8,False,True
0.4,7,False,True
0.385,8,True,False
0.385,7,False,True
0.4,7,False,True
0.39,9,False,False
0.355,8,True,False
0.39,8,False,True
0.405,7,True,False
0.405,8,False,True
0.41,8,False,True
0.43,8,False,False
0.39,7,False,True
0.415,8,False,False
0.425,8,False,False
0.405,7,False,True
0.4,8,False,False
0.43,8,False,True
0.435,8,False,True
0.43,9,False,False
0.455,9,False,False
0.4,8,False,False
0.45,10,False,True
0.45,10,False,True
0.455,8,False,False
0.445,8,False,True
0.475,9,False,True
0.46,9,False,False
0.46,8,False,False
0.455,10,False,True
0.45,8,False,False
0.49,9,False,True
0.465,11,False,True
0.455,8,False,False
0.47,11,False,False
0.46,9,False,False
0.455,9,False,True
0.49,9,False,False
0.475,9,False,True
0.47,11,False,True
0.47,11,False,True
0.475,10,False,True
0.48,8,False,False
0.48,10,False,False
0.49,10,False,True
0.475,10,False,False
0.485,9,False,False
0.485,8,False,True
0.495,11,False,False
0.48,8,False,True
0.49,11,False,True
0.525,10,False,True
0.5,10,False,False
0.5,10,False,False
0.52,11,False,True
0.52,8,False,True
0.505,8,False,False
0.5,11,False,True
0.5,10,False,False
0.52,11,False,True
0.525,10,False,True
0.46,9,False,False
0.51,10,False,False
0.505,11,False,False
0.535,9,False,True
0.475,6,False,False
0.525,11,False,True
0.565,12,False,False
0.535,12,False,True
0.525,8,False,True
0.535,12,False,False
0.565,11,False,True
0.525,11,False,False
0.6,11,False,False
0.15,3,True,False
0.135,4,True,False
0.165,4,True,False
0.18,4,True,False
0.18,5,True,False
0.195,7,True,False
0.22,5,True,False
0.22,6,True,False
0.235,6,True,False
0.225,6,True,False
0.265,5,True,False
0.28,6,True,False
0.28,6,True,False
0.29,7,True,False
0.32,6,True,False
0.32,7,True,False
0.31,6,True,False
0.325,7,True,False
0.345,7,True,False
0.345,7,True,False
0.34,7,True,False
0.365,8,True,False
0.33,7,True,False
0.33,6,True,False
0.35,7,True,False
0.38,6,True,False
0.35,6,True,False
0.35,7,True,False
0.465,7,False,True
0.375,7,True,False
0.38,8,True,False
0.39,7,False,False
0.405,8,True,False
0.4,6,False,False
0.385,8,True,False
0.4,9,False,True
0.38,8,True,False
0.38,8,True,False
0.46,7,False,False
0.4,9,True,False
0.405,9,False,True
0.395,8,True,False
0.4,8,True,False
0.39,9,True,False
0.42,10,True,False
0.39,7,False,True
0.41,9,False,True
0.415,9,False,True
0.415,8,False,False
0.43,8,False,False
0.43,9,False,True
0.445,8,False,True
0.44,8,False,False
0.455,9,False,True
0.435,8,False,True
0.45,9,False,False
0.46,9,False,True
0.445,8,False,False
0.46,7,False,False
0.435,9,False,True
0.47,9,False,False
0.455,9,False,True
0.445,9,False,True
0.455,8,False,True
0.455,9,False,True
0.445,9,False,True
0.45,8,False,True
0.45,9,False,False
0.465,7,False,True
0.475,9,False,False
0.455,8,False,True
0.47,9,False,False
0.475,9,False,True
0.48,10,False,True
0.475,9,False,False
0.485,8,False,True
0.485,9,False,True
0.47,9,False,True
0.465,9,False,False
0.475,9,False,False
0.47,8,False,True
0.45,8,False,True
0.48,8,False,False
0.485,9,False,False
0.48,8,False,True
0.47,8,False,True
0.5,10,False,True
0.495,9,False,False
0.515,10,False,True
0.48,10,False,False
0.5,9,False,False
0.5,11,False,True
0.515,11,False,True
0.53,11,False,False
0.525,8,False,True
0.505,9,False,False
0.54,14,False,False
0.52,10,False,True
0.54,9,False,False
0.56,10,False,True
0.525,9,False,False
0.55,12,False,True
0.535,10,False,True
0.58,10,False,False
0.55,10,False,False
0.565,8,False,True
0.575,12,False,False
0.585,11,False,True
0.565,11,False,True
0.625,11,False,False
0.58,10,False,True
0.63,11,False,False
0.375,6,True,False
0.205,4,True,False
0.185,5,True,False
0.19,5,True,False
0.195,6,True,False
0.215,5,True,False
0.225,5,True,False
0.23,5,True,False
0.23,5,True,False
0.225,6,True,False
0.25,7,True,False
0.205,5,True,False
0.245,7,True,False
0.25,6,True,False
0.27,6,True,False
0.255,8,True,False
0.27,6,True,False
0.28,6,True,False
0.29,7,True,False
0.275,6,True,False
0.27,7,True,False
0.275,6,True,False
0.28,8,True,False
0.3,7,True,False
0.28,5,True,False
0.29,5,True,False
0.285,6,True,False
0.335,7,True,False
0.305,6,True,False
0.32,7,True,False
0.31,7,True,False
0.34,8,True,False
0.315,8,True,False
0.315,7,True,False
0.33,9,True,False
0.345,8,True,False
0.365,8,False,False
0.33,8,True,False
0.36,7,True,False
0.35,9,True,False
0.365,8,False,False
0.34,11,True,False
0.355,8,True,False
0.38,8,True,False
0.36,8,True,False
0.355,8,True,False
0.365,8,True,False
0.38,7,True,False
0.395,8,False,True
0.38,9,True,False
0.42,9,False,True
0.375,9,True,False
0.41,9,True,False
0.375,7,True,False
0.395,9,True,False
0.405,8,True,False
0.38,7,True,False
0.395,8,True,False
0.38,7,True,False
0.42,13,True,False
0.395,9,True,False
0.4,9,True,False
0.42,9,False,True
0.415,9,True,False
0.42,10,True,False
0.425,9,True,False
0.4,9,True,False
0.415,8,True,False
0.41,9,False,False
0.42,10,False,False
0.435,8,True,False
0.43,10,True,False
0.405,8,True,False
0.43,11,True,False
0.405,9,False,False
0.43,9,False,True
0.435,10,True,False
0.44,9,False,True
0.425,9,True,False
0.425,9,True,False
0.445,10,False,False
0.455,9,True,False
0.44,11,True,False
0.45,8,False,False
0.445,8,False,True
0.39,11,False,True
0.45,10,True,False
0.45,8,True,False
0.44,10,True,False
0.435,9,False,True
0.42,10,False,False
0.48,9,False,False
0.46,10,False,True
0.465,9,False,True
0.49,10,False,True
0.475,10,True,False
0.46,10,False,True
0.47,10,False,True
0.45,8,False,True
0.445,9,True,False
0.47,9,False,True
0.455,10,False,True
0.465,12,False,False
0.48,11,False,True
0.465,11,False,False
0.46,11,False,True
0.485,11,True,False
0.435,11,True,False
0.475,9,False,False
0.47,12,False,False
0.45,10,False,True
0.48,12,False,True
0.475,10,False,True
0.465,9,True,False
0.48,10,False,True
0.46,10,False,True
0.475,10,False,False
0.475,12,False,False
0.475,10,False,True
0.48,9,False,True
0.475,10,False,False
0.51,10,False,True
0.5,10,False,False
0.475,10,False,False
0.455,9,False,True
0.505,11,False,False
0.515,9,False,False
0.505,11,True,False
0.485,12,False,True
0.475,10,True,False
0.495,12,False,True
0.49,10,False,True
0.5,9,False,False
0.495,9,False,False
0.475,10,False,True
0.51,10,False,True
0.565,15,False,True
0.51,11,False,True
0.5,10,False,True
0.525,11,False,True
0.505,11,False,False
0.59,11,False,False
0.525,11,False,True
0.51,9,False,True
0.51,10,False,False
0.525,10,False,False
0.49,10,False,True
0.515,10,False,False
0.53,10,False,False
0.505,10,False,False
0.545,13,False,True
0.545,9,False,True
0.565,11,False,False
0.555,11,False,True
0.57,12,False,False
0.55,11,False,False
0.575,13,False,False
0.575,12,False,True
0.6,11,False,False
0.58,11,False,False
0.565,12,False,False
0.61,14,False,False
0.65,14,False,False
0.165,4,True,False
0.265,7,True,False
0.255,5,True,False
0.27,6,True,False
0.3,5,True,False
0.295,5,True,False
0.29,6,True,False
0.31,8,True,False
0.29,7,True,False
0.32,5,True,False
0.34,6,True,False
0.34,5,True,False
0.32,8,False,True
0.365,9,True,False
0.335,6,False,True
0.335,7,True,False
0.355,8,True,False
0.345,9,True,False
0.35,6,True,False
0.37,8,False,True
0.365,7,True,False
0.365,7,False,False
0.36,7,True,False
0.38,6,True,False
0.37,6,False,True
0.38,7,False,False
0.385,9,False,True
0.395,8,True,False
0.425,8,False,True
0.4,8,False,True
0.43,9,True,False
0.4,8,False,True
0.41,9,False,False
0.425,9,False,True
0.43,8,False,False
0.435,9,False,False
0.455,8,False,True
0.465,9,False,False
0.46,8,False,False
0.455,9,False,False
0.455,8,False,True
0.485,11,False,False
0.515,9,False,False
0.475,8,True,False
0.485,10,False,True
0.435,8,False,False
0.48,9,False,True
0.52,10,False,True
0.47,11,False,True
0.47,9,False,True
0.5,10,False,False
0.455,9,False,True
0.48,11,False,True
0.505,10,False,False
0.51,8,False,True
0.515,9,False,False
0.515,10,False,False
0.505,11,False,False
0.545,10,False,False
0.515,10,False,True
0.485,8,False,True
0.54,11,False,False
0.51,11,False,True
0.505,10,False,True
0.515,10,False,False
0.545,11,False,True
0.51,10,False,True
0.5,10,False,True
0.515,11,False,True
0.525,12,False,True
0.55,11,False,False
0.555,11,False,True
0.56,10,False,True
0.565,12,False,True
0.575,13,False,True
0.57,10,False,True
0.55,11,False,True
0.17,5,True,False
0.21,5,True,False
0.23,6,True,False
0.255,5,True,False
0.26,5,True,False
0.27,6,True,False
0.26,7,True,False
0.27,8,True,False
0.275,7,True,False
0.27,7,True,False
0.28,7,True,False
0.285,7,True,False
0.28,7,True,False
0.3,7,True,False
0.285,7,True,False
0.3,8,True,False
0.3,8,True,False
0.325,7,True,False
0.315,7,True,False
0.34,8,True,False
0.335,7,True,False
0.355,7,True,False
0.37,9,True,False
0.345,8,True,False
0.355,8,True,False
0.36,8,True,False
0.36,8,True,False
0.37,9,True,False
0.37,8,True,False
0.355,8,False,True
0.4,8,True,False
0.4,8,True,False
0.375,9,True,False
0.395,7,True,False
0.36,9,True,False
0.35,10,True,False
0.395,8,True,False
0.39,7,True,False
0.415,8,False,True
0.39,9,True,False
0.38,8,True,False
0.4,7,True,False
0.4,9,False,True
0.42,7,True,False
0.43,10,True,False
0.42,11,True,False
0.4,7,True,False
0.43,9,True,False
0.425,9,True,False
0.455,10,False,True
0.42,9,True,False
0.425,10,True,False
0.425,8,True,False
0.4,9,True,False
0.435,10,False,True
0.425,9,True,False
0.425,8,True,False
0.395,9,True,False
0.435,8,True,False
0.46,11,True,False
0.445,10,True,False
0.425,10,False,True
0.44,9,False,True
0.43,10,False,True
0.45,8,False,False
0.435,9,True,False
0.445,9,True,False
0.445,12,True,False
0.455,8,False,True
0.425,10,True,False
0.47,10,False,False
0.45,9,True,False
0.47,10,False,True
0.465,8,False,False
0.45,10,True,False
0.435,8,False,False
0.445,9,False,True
0.43,10,False,True
0.445,9,True,False
0.445,10,False,False
0.49,10,False,True
0.45,10,True,False
0.46,11,True,False
0.45,10,False,True
0.46,8,True,False
0.46,8,False,False
0.475,9,False,False
0.48,9,False,True
0.48,10,False,False
0.47,9,False,True
0.47,10,False,True
0.455,9,False,False
0.47,9,True,False
0.48,8,False,False
0.47,9,False,False
0.505,11,False,False
0.475,10,False,True
0.485,12,False,False
0.475,10,False,False
0.465,9,True,False
0.47,9,False,True
0.47,10,False,True
0.475,9,False,True
0.485,12,True,False
0.515,13,False,True
0.54,11,False,False
0.49,11,True,False
0.48,12,False,False
0.47,9,True,False
0.45,10,True,False
0.48,12,False,True
0.48,9,False,False
0.49,11,False,True
0.475,10,False,True
0.5,9,False,True
0.47,12,True,False
0.485,10,False,False
0.485,9,True,False
0.505,9,False,True
0.5,8,False,False
0.485,10,False,True
0.495,11,False,True
0.5,13,True,False
0.5,12,False,True
0.49,10,False,False
0.49,9,False,False
0.505,10,False,False
0.515,10,False,True
0.525,11,False,True
0.505,10,False,True
0.5,12,False,True
0.5,14,False,True
0.51,9,False,True
0.51,10,False,True
0.51,9,False,True
0.5,10,False,True
0.51,10,False,False
0.485,9,False,True
0.495,9,False,False
0.505,11,False,True
0.525,11,False,True
0.51,9,False,True
0.505,11,False,False
0.5,9,False,True
0.535,12,False,False
0.53,10,False,True
0.525,11,False,True
0.505,11,False,True
0.505,11,False,False
0.52,12,False,True
0.5,9,False,True
0.505,12,False,True
0.52,11,False,True
0.52,13,False,False
0.54,11,False,False
0.525,13,False,True
0.51,10,False,False
0.52,10,False,True
0.55,12,False,False
0.565,10,False,True
0.535,15,False,False
0.545,11,False,False
0.575,11,False,True
0.54,10,False,False
0.56,11,False,True
0.55,13,False,True
0.525,7,False,False
0.565,14,False,False
0.56,11,False,False
0.59,11,False,True
0.565,12,False,False
0.595,12,False,True
0.175,5,True,False
0.245,6,True,False
0.27,7,False,False
0.28,7,False,True
0.3,8,True,False
0.335,6,True,False
0.325,8,True,False
0.345,8,True,False
0.365,8,True,False
0.37,9,False,True
0.345,9,True,False
0.37,9,False,True
0.395,8,False,True
0.425,8,False,False
0.385,8,True,False
0.42,8,True,False
0.415,10,False,False
0.385,9,False,False
0.38,10,False,False
0.42,10,False,True
0.45,10,True,False
0.45,8,True,False
0.495,11,False,True
0.465,9,False,True
0.475,9,False,True
0.475,10,False,True
0.475,11,False,False
0.47,10,False,True
0.49,11,False,True
0.475,10,False,False
0.475,8,False,False
0.5,9,False,True
0.525,11,False,True
0.485,10,False,True
0.52,9,False,False
0.545,10,False,True
0.53,10,False,False
0.55,10,False,False
0.545,13,False,False
0.55,9,False,False
0.56,11,False,True
0.575,11,False,True
0.135,5,True,False
0.215,7,True,False
0.26,6,True,False
0.265,7,True,False
0.27,6,True,False
0.275,7,True,False
0.27,6,True,False
0.3,6,True,False
0.31,6,True,False
0.31,8,True,False
0.325,11,True,False
0.34,8,True,False
0.33,7,True,False
0.33,8,True,False
0.345,7,True,False
0.33,8,True,False
0.36,8,True,False
0.37,9,True,False
0.38,8,True,False
0.38,9,True,False
0.405,11,True,False
0.4,8,True,False
0.395,9,True,False
0.415,9,True,False
0.4,9,True,False
0.43,8,True,False
0.43,9,True,False
0.395,9,True,False
0.455,9,True,False
0.425,9,False,False
0.39,8,True,False
0.43,9,True,False
0.41,8,False,True
0.4,7,False,True
0.45,9,True,False
0.455,9,False,True
0.445,9,True,False
0.445,11,False,False
0.455,11,False,True
0.435,9,True,False
0.45,9,False,True
0.46,10,True,False
0.455,11,False,True
0.415,13,False,True
0.44,9,False,False
0.45,9,False,True
0.435,10,False,True
0.455,11,False,True
0.445,10,False,True
0.475,9,False,True
0.45,9,False,False
0.5,10,False,False
0.455,10,False,True
0.46,11,False,True
0.475,10,False,True
0.465,11,False,False
0.49,10,True,False
0.455,9,False,False
0.48,8,False,True
0.46,10,False,False
0.46,8,False,False
0.47,11,False,False
0.47,11,False,True
0.47,9,False,True
0.495,12,False,False
0.495,10,False,True
0.49,9,False,True
0.495,11,False,False
0.47,9,False,True
0.495,11,False,True
0.515,9,False,True
0.505,10,False,True
0.52,11,False,False
0.47,11,False,False
0.49,9,False,True
0.485,11,False,False
0.52,11,False,False
0.505,11,False,False
0.5,12,False,True
0.515,10,False,True
0.53,11,False,True
0.48,10,False,False
0.515,10,False,False
0.49,10,True,False
0.49,9,False,True
0.485,11,False,False
0.51,12,False,False
0.49,11,False,True
0.52,16,False,False
0.52,10,True,False
0.51,13,False,False
0.51,10,False,False
