mcg,gvh,lip,chg,aac,alm2,class_im,class_imL,class_imS,class_imU,class_om,class_omL,class_pp
0.22,0.34,0.48,0.5,0.42,0.39,False,False,False,False,False,False,False
0.44,0.35,0.48,0.5,0.44,0.59,False,False,False,False,False,False,False
0.27,0.42,0.48,0.5,0.37,0.43,False,False,False,False,False,False,False
0.16,0.43,0.48,0.5,0.54,0.37,False,False,False,False,False,False,False
0.06,0.61,0.48,0.5,0.49,0.37,True,False,False,False,False,False,False
0.44,0.52,0.48,0.5,0.43,0.54,True,False,False,False,False,False,False
0.63,0.47,0.48,0.5,0.51,0.84,True,False,False,False,False,False,False
0.23,0.48,0.48,0.5,0.59,0.89,True,False,False,False,False,False,False
0.34,0.49,0.48,0.5,0.58,0.8,True,False,False,False,False,False,False
0.43,0.4,0.48,0.5,0.58,0.78,True,False,False,False,False,False,False
0.46,0.61,0.48,0.5,0.48,0.87,True,False,False,False,False,False,False
0.27,0.35,0.48,0.5,0.51,0.79,True,False,False,False,False,False,False
0.52,0.39,0.48,0.5,0.65,0.73,True,False,False,False,False,False,False
0.29,0.47,0.48,0.5,0.71,0.69,True,False,False,False,False,False,False
0.55,0.47,0.48,0.5,0.57,0.8,True,False,False,False,False,False,False
0.12,0.67,0.48,0.5,0.74,0.63,True,False,False,False,False,False,False
0.4,0.5,0.48,0.5,0.65,0.84,True,False,False,False,False,False,False
0.73,0.36,0.48,0.5,0.53,0.92,True,False,False,False,False,False,False
0.84,0.44,0.48,0.5,0.48,0.74,True,False,False,False,False,False,False
0.48,0.45,0.48,0.5,0.6,0.8,True,False,False,False,False,False,False
0.54,0.49,0.48,0.5,0.4,0.88,True,False,False,False,False,False,False
0.48,0.41,0.48,0.5,0.51,0.88,True,False,False,False,False,False,False
0.5,0.66,0.48,0.5,0.31,0.92,True,False,False,False,False,False,False
0.72,0.46,0.48,0.5,0.51,0.7,True,False,False,False,False,False,False
0.47,0.55,0.48,0.5,0.58,0.75,True,False,False,False,False,False,False
0.33,0.56,0.48,0.5,0.33,0.8,True,False,False,False,False,False,False
0.64,0.58,0.48,0.5,0.48,0.73,True,False,False,False,False,False,False
0.54,0.57,0.48,0.5,0.56,0.83,True,False,False,False,False,False,False
0.47,0.59,0.48,0.5,0.52,0.79,True,False,False,False,False,False,False
0.63,0.5,0.48,0.5,0.59,0.86,True,False,False,False,False,False,False
0.49,0.42,0.48,0.5,0.53,0.81,True,False,False,False,False,False,False
0.31,0.5,0.48,0.5,0.57,0.85,True,False,False,False,False,False,False
0.74,0.44,0.48,0.5,0.55,0.89,True,False,False,False,False,False,False
0.33,0.45,0.48,0.5,0.45,0.89,True,False,False,False,False,False,False
0.45,0.4,0.48,0.5,0.61,0.77,True,False,False,False,False,False,False
0.71,0.4,0.48,0.5,0.71,0.74,True,False,False,False,False,False,False
0.5,0.37,0.48,0.5,0.66,0.69,True,False,False,False,False,False,False
0.66,0.53,0.48,0.5,0.59,0.66,True,False,False,False,False,False,False
0.6,0.61,0.48,0.5,0.54,0.71,True,False,False,False,False,False,False
0.83,0.37,0.48,0.5,0.61,0.74,True,False,False,False,False,False,False
0.34,0.51,0.48,0.5,0.67,0.9,True,False,False,False,False,False,False
0.63,0.54,0.48,0.5,0.65,0.81,True,False,False,False,False,False,False
0.7,0.4,0.48,0.5,0.56,0.83,True,False,False,False,False,False,False
0.6,0.5,1.0,0.5,0.54,0.8,True,False,False,False,False,False,False
0.16,0.51,0.48,0.5,0.33,0.48,True,False,False,False,False,False,False
0.74,0.7,0.48,0.5,0.66,0.69,True,False,False,False,False,False,False
0.2,0.46,0.48,0.5,0.57,0.81,True,False,False,False,False,False,False
0.89,0.55,0.48,0.5,0.51,0.76,True,False,False,False,False,False,False
0.7,0.46,0.48,0.5,0.56,0.73,True,False,False,False,False,False,False
0.12,0.43,0.48,0.5,0.63,0.74,True,False,False,False,False,False,False
0.61,0.52,0.48,0.5,0.54,0.52,True,False,False,False,False,False,False
0.33,0.37,0.48,0.5,0.46,0.69,True,False,False,False,False,False,False
0.63,0.65,0.48,0.5,0.66,0.71,True,False,False,False,False,False,False
0.41,0.51,0.48,0.5,0.53,0.78,True,False,False,False,False,False,False
0.34,0.67,0.48,0.5,0.52,0.79,True,False,False,False,False,False,False
0.58,0.34,0.48,0.5,0.56,0.81,True,False,False,False,False,False,False
0.59,0.56,0.48,0.5,0.55,0.82,True,False,False,False,False,False,False
0.51,0.4,0.48,0.5,0.57,0.67,True,False,False,False,False,False,False
0.5,0.57,0.48,0.5,0.71,0.66,True,False,False,False,False,False,False
0.6,0.46,0.48,0.5,0.45,0.83,True,False,False,False,False,False,False
0.37,0.47,0.48,0.5,0.39,0.79,True,False,False,False,False,False,False
0.58,0.55,0.48,0.5,0.57,0.74,True,False,False,False,False,False,False
0.36,0.47,0.48,0.5,0.51,0.72,True,False,False,False,False,False,False
0.39,0.41,0.48,0.5,0.52,0.75,True,False,False,False,False,False,False
0.35,0.51,0.48,0.5,0.61,0.74,True,False,False,False,False,False,False
0.31,0.44,0.48,0.5,0.5,0.82,True,False,False,False,False,False,False
0.61,0.66,0.48,0.5,0.46,0.88,True,False,False,False,False,False,False
0.48,0.49,0.48,0.5,0.52,0.71,True,False,False,False,False,False,False
0.11,0.5,0.48,0.5,0.58,0.68,True,False,False,False,False,False,False
0.31,0.36,0.48,0.5,0.58,0.94,True,False,False,False,False,False,False
0.68,0.51,0.48,0.5,0.71,0.78,True,False,False,False,False,False,False
0.69,0.39,0.48,0.5,0.57,0.79,True,False,False,False,False,False,False
0.52,0.54,0.48,0.5,0.62,0.79,True,False,False,False,False,False,False
0.46,0.59,0.48,0.5,0.36,0.23,True,False,False,False,False,False,False
0.36,0.45,0.48,0.5,0.38,0.17,True,False,False,False,False,False,False
0.0,0.51,0.48,0.5,0.35,0.44,True,False,False,False,False,False,False
0.1,0.49,0.48,0.5,0.41,0.21,True,False,False,False,False,False,False
0.3,0.51,0.48,0.5,0.42,0.34,True,False,False,False,False,False,False
0.61,0.47,0.48,0.5,0.0,0.32,True,False,False,False,False,False,False
0.63,0.75,0.48,0.5,0.64,0.66,True,False,False,False,False,False,False
0.71,0.52,0.48,0.5,0.64,0.99,True,False,False,False,False,False,False
0.85,0.53,0.48,0.5,0.53,0.35,False,False,True,False,False,False,False
0.63,0.49,0.48,0.5,0.54,0.79,False,False,True,False,False,False,False
0.75,0.55,1.0,1.0,0.4,0.3,False,True,False,False,False,False,False
0.7,0.39,1.0,0.5,0.51,0.84,False,True,False,False,False,False,False
0.72,0.42,0.48,0.5,0.65,0.79,False,False,False,True,False,False,False
0.79,0.41,0.48,0.5,0.66,0.83,False,False,False,True,False,False,False
0.83,0.48,0.48,0.5,0.65,0.79,False,False,False,True,False,False,False
0.69,0.43,0.48,0.5,0.59,0.77,False,False,False,True,False,False,False
0.79,0.36,0.48,0.5,0.46,0.7,False,False,False,True,False,False,False
0.78,0.33,0.48,0.5,0.57,0.79,False,False,False,True,False,False,False
0.75,0.37,0.48,0.5,0.64,0.74,False,False,False,True,False,False,False
0.59,0.29,0.48,0.5,0.64,0.77,False,False,False,True,False,False,False
0.67,0.37,0.48,0.5,0.54,0.68,False,False,False,True,False,False,False
0.66,0.48,0.48,0.5,0.54,0.74,False,False,False,True,False,False,False
0.64,0.46,0.48,0.5,0.48,0.76,False,False,False,True,False,False,False
0.76,0.71,0.48,0.5,0.5,0.75,False,False,False,True,False,False,False
0.84,0.49,0.48,0.5,0.55,0.74,False,False,False,True,False,False,False
0.77,0.55,0.48,0.5,0.51,0.74,False,False,False,True,False,False,False
0.81,0.44,0.48,0.5,0.42,0.68,False,False,False,True,False,False,False
0.58,0.6,0.48,0.5,0.59,0.76,False,False,False,True,False,False,False
0.63,0.42,0.48,0.5,0.48,0.8,False,False,False,True,False,False,False
0.62,0.42,0.48,0.5,0.58,0.81,False,False,False,True,False,False,False
0.86,0.39,0.48,0.5,0.59,0.9,False,False,False,True,False,False,False
0.81,0.53,0.48,0.5,0.57,0.88,False,False,False,True,False,False,False
0.87,0.49,0.48,0.5,0.61,0.79,False,False,False,True,False,False,False
0.47,0.46,0.48,0.5,0.62,0.77,False,False,False,True,False,False,False
0.76,0.41,0.48,0.5,0.5,0.62,False,False,False,True,False,False,False
0.7,0.53,0.48,0.5,0.7,0.87,False,False,False,True,False,False,False
0.64,0.45,0.48,0.5,0.67,0.66,False,False,False,True,False,False,False
0.81,0.52,0.48,0.5,0.57,0.8,False,False,False,True,False,False,False
0.73,0.26,0.48,0.5,0.57,0.78,False,False,False,True,False,False,False
0.49,0.61,1.0,0.5,0.56,0.74,False,False,False,True,False,False,False
0.88,0.42,0.48,0.5,0.52,0.75,False,False,False,True,False,False,False
0.84,0.54,0.48,0.5,0.75,0.7,False,False,False,True,False,False,False
0.63,0.51,0.48,0.5,0.64,0.76,False,False,False,True,False,False,False
0.86,0.55,0.48,0.5,0.63,0.83,False,False,False,True,False,False,False
0.79,0.54,0.48,0.5,0.5,0.68,False,False,False,True,False,False,False
0.57,0.38,0.48,0.5,0.06,0.33,False,False,False,True,False,False,False
0.78,0.44,0.48,0.5,0.45,0.68,False,False,False,True,False,False,False
0.78,0.68,0.48,0.5,0.83,0.29,False,False,False,False,True,False,False
0.63,0.69,0.48,0.5,0.65,0.28,False,False,False,False,True,False,False
0.67,0.88,0.48,0.5,0.73,0.25,False,False,False,False,True,False,False
0.61,0.75,0.48,0.5,0.51,0.33,False,False,False,False,True,False,False
0.67,0.84,0.48,0.5,0.74,0.37,False,False,False,False,True,False,False
0.74,0.9,0.48,0.5,0.57,0.29,False,False,False,False,True,False,False
0.73,0.84,0.48,0.5,0.86,0.29,False,False,False,False,True,False,False
0.75,0.76,0.48,0.5,0.83,0.3,False,False,False,False,True,False,False
0.77,0.57,0.48,0.5,0.88,0.2,False,False,False,False,True,False,False
0.74,0.78,0.48,0.5,0.75,0.15,False,False,False,False,True,False,False
0.68,0.76,0.48,0.5,0.84,0.27,False,False,False,False,True,False,False
0.56,0.68,0.48,0.5,0.77,0.45,False,False,False,False,True,False,False
0.65,0.51,0.48,0.5,0.66,0.33,False,False,False,False,True,False,False
0.52,0.81,0.48,0.5,0.72,0.38,False,False,False,False,True,False,False
0.64,0.57,0.48,0.5,0.7,0.26,False,False,False,False,True,False,False
0.6,0.76,1.0,0.5,0.77,0.52,False,False,False,False,True,False,False
0.69,0.59,0.48,0.5,0.77,0.21,False,False,False,False,True,False,False
0.63,0.49,0.48,0.5,0.79,0.28,False,False,False,False,True,False,False
0.71,0.71,0.48,0.5,0.68,0.36,False,False,False,False,True,False,False
0.68,0.63,0.48,0.5,0.73,0.3,False,False,False,False,True,False,False
0.77,0.57,1.0,0.5,0.37,0.01,False,False,False,False,False,True,False
0.66,0.49,1.0,0.5,0.54,0.36,False,False,False,False,False,True,False
0.71,0.46,1.0,0.5,0.52,0.3,False,False,False,False,False,True,False
0.67,0.55,1.0,0.5,0.66,0.16,False,False,False,False,False,True,False
0.68,0.49,1.0,0.5,0.62,0.28,False,False,False,False,False,True,False
0.74,0.49,0.48,0.5,0.42,0.36,False,False,False,False,False,False,True
0.7,0.61,0.48,0.5,0.56,0.43,False,False,False,False,False,False,True
0.66,0.86,0.48,0.5,0.34,0.36,False,False,False,False,False,False,True
0.73,0.78,0.48,0.5,0.58,0.31,False,False,False,False,False,False,True
0.65,0.57,0.48,0.5,0.47,0.51,False,False,False,False,False,False,True
0.72,0.86,0.48,0.5,0.17,0.21,False,False,False,False,False,False,True
0.67,0.7,0.48,0.5,0.46,0.33,False,False,False,False,False,False,True
0.67,0.81,0.48,0.5,0.54,0.23,False,False,False,False,False,False,True
0.67,0.61,0.48,0.5,0.51,0.38,False,False,False,False,False,False,True
0.63,1.0,0.48,0.5,0.35,0.49,False,False,False,False,False,False,True
0.57,0.59,0.48,0.5,0.39,0.33,False,False,False,False,False,False,True
0.71,0.71,0.48,0.5,0.4,0.39,False,False,False,False,False,False,True
0.66,0.74,0.48,0.5,0.31,0.43,False,False,False,False,False,False,True
0.67,0.81,0.48,0.5,0.25,0.25,False,False,False,False,False,False,True
0.64,0.72,0.48,0.5,0.49,0.19,False,False,False,False,False,False,True
0.68,0.82,0.48,0.5,0.38,0.56,False,False,False,False,False,False,True
0.32,0.39,0.48,0.5,0.53,0.38,False,False,False,False,False,False,True
0.7,0.64,0.48,0.5,0.47,0.47,False,False,False,False,False,False,True
0.63,0.57,0.48,0.5,0.49,0.2,False,False,False,False,False,False,True
0.74,0.82,0.48,0.5,0.49,0.41,False,False,False,False,False,False,True
0.63,0.86,0.48,0.5,0.39,0.34,False,False,False,False,False,False,True
0.63,0.83,0.48,0.5,0.4,0.19,False,False,False,False,False,False,True
0.63,0.71,0.48,0.5,0.6,0.39,False,False,False,False,False,False,True
0.71,0.86,0.48,0.5,0.4,0.32,False,False,False,False,False,False,True
0.68,0.78,0.48,0.5,0.43,0.42,False,False,False,False,False,False,True
0.64,0.84,0.48,0.5,0.37,0.4,False,False,False,False,False,False,True
0.74,0.47,0.48,0.5,0.5,0.42,False,False,False,False,False,False,True
0.75,0.84,0.48,0.5,0.35,0.33,False,False,False,False,False,False,True
0.63,0.65,0.48,0.5,0.39,0.35,False,False,False,False,False,False,True
0.69,0.67,0.48,0.5,0.3,0.24,False,False,False,False,False,False,True
0.7,0.71,0.48,0.5,0.42,0.85,False,False,False,False,False,False,True
0.69,0.8,0.48,0.5,0.46,0.26,False,False,False,False,False,False,True
0.64,0.66,0.48,0.5,0.41,0.2,False,False,False,False,False,False,True
0.63,0.8,0.48,0.5,0.46,0.29,False,False,False,False,False,False,True
0.66,0.71,0.48,0.5,0.41,0.35,False,False,False,False,False,False,True
0.69,0.59,0.48,0.5,0.46,0.52,False,False,False,False,False,False,True
0.68,0.67,0.48,0.5,0.49,0.34,False,False,False,False,False,False,True
0.64,0.78,0.48,0.5,0.5,0.38,False,False,False,False,False,False,True
0.62,0.78,0.48,0.5,0.47,0.54,False,False,False,False,False,False,True
0.76,0.73,0.48,0.5,0.44,0.39,False,False,False,False,False,False,True
0.64,0.81,0.48,0.5,0.37,0.44,False,False,False,False,False,False,True
0.29,0.39,0.48,0.5,0.52,0.48,False,False,False,False,False,False,True
0.62,0.83,0.48,0.5,0.46,0.4,False,False,False,False,False,False,True
0.56,0.54,0.48,0.5,0.43,0.3,False,False,False,False,False,False,True
0.69,0.66,0.48,0.5,0.41,0.25,False,False,False,False,False,False,True
0.69,0.65,0.48,0.5,0.63,0.41,False,False,False,False,False,False,True
0.43,0.59,0.48,0.5,0.52,0.56,False,False,False,False,False,False,True
0.74,0.56,0.48,0.5,0.47,0.3,False,False,False,False,False,False,True
0.71,0.57,0.48,0.5,0.48,0.32,False,False,False,False,False,False,True
0.61,0.6,0.48,0.5,0.44,0.38,False,False,False,False,False,False,True
0.59,0.61,0.48,0.5,0.42,0.37,False,False,False,False,False,False,True
0.74,0.74,0.48,0.5,0.31,0.52,False,False,False,False,False,False,True
